ID,store_ID,product_ID,salesDate,metricName,actualValue,expectedValue,deviation,zScore,anomalyType,severity,movingAvg,stdDev,modelName,modelVersion,detectedAt
ea000001-0000-4000-8000-000000000001,d1000001-0001-4000-8000-000000000001,c1000001-0001-4000-8000-000000000001,2026-04-10,quantity,350,120,230,4.52,SPIKE,HIGH,125,50.88,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000002,d1000001-0002-4000-8000-000000000002,c1000001-0002-4000-8000-000000000002,2026-04-10,quantity,5,85,-80,-3.21,DROP,HIGH,82,24.92,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000003,d1000001-0003-4000-8000-000000000003,c1000001-0003-4000-8000-000000000003,2026-04-11,quantity,200,95,105,3.15,SPIKE,MEDIUM,98,33.33,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000004,d1000001-0004-4000-8000-000000000004,c1000001-0004-4000-8000-000000000004,2026-04-11,quantity,2,60,-58,-2.87,DROP,MEDIUM,58,20.21,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000005,d1000001-0005-4000-8000-000000000005,c1000001-0005-4000-8000-000000000005,2026-04-12,quantity,500,150,350,5.67,SPIKE,HIGH,155,61.73,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000006,d1000001-0001-4000-8000-000000000001,c1000001-0006-4000-8000-000000000006,2026-04-12,quantity,0,45,-45,-2.50,DROP,MEDIUM,48,18.00,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000007,d1000001-0002-4000-8000-000000000002,c1000001-0007-4000-8000-000000000007,2026-04-13,quantity,180,70,110,3.45,SPIKE,MEDIUM,72,31.88,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000008,d1000001-0003-4000-8000-000000000003,c1000001-0008-4000-8000-000000000008,2026-04-13,quantity,1,110,-109,-4.10,DROP,HIGH,108,26.59,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000009,d1000001-0004-4000-8000-000000000004,c1000001-0009-4000-8000-000000000009,2026-04-14,quantity,95,90,5,0.35,NORMAL,LOW,88,14.29,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000010,d1000001-0005-4000-8000-000000000005,c1000001-0010-4000-8000-000000000010,2026-04-14,quantity,420,130,290,5.12,SPIKE,HIGH,135,56.64,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000011,d1000001-0001-4000-8000-000000000001,c1000001-0001-4000-8000-000000000001,2026-04-09,quantity,3,120,-117,-3.89,DROP,HIGH,118,30.08,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000012,d1000001-0002-4000-8000-000000000002,c1000001-0003-4000-8000-000000000003,2026-04-09,quantity,250,80,170,4.01,SPIKE,HIGH,82,42.39,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000013,d1000001-0003-4000-8000-000000000003,c1000001-0005-4000-8000-000000000005,2026-04-08,quantity,55,50,5,0.28,NORMAL,LOW,52,17.86,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000014,d1000001-0004-4000-8000-000000000004,c1000001-0007-4000-8000-000000000007,2026-04-08,quantity,310,100,210,4.78,SPIKE,HIGH,105,43.93,IsolationForest,1.0,2026-04-15T10:00:00Z
ea000001-0000-4000-8000-000000000015,d1000001-0005-4000-8000-000000000005,c1000001-0009-4000-8000-000000000009,2026-04-07,quantity,8,75,-67,-3.05,DROP,MEDIUM,73,21.97,IsolationForest,1.0,2026-04-15T10:00:00Z
